Case,Hs,Tp,Theta,Seed,a_x,b_x,c_x,a_y,b_y,c_y
7213,1,3,80,3,-3.538663595414503,-0.007466260793070686,0.01899333424995317,-3.58197916436119,-0.011320539517617353,0.017698645836181838
7214,1,3,80,4,-3.5007565861560273,-0.002597727625594747,0.018281701660970782,-3.464338573878605,-0.0004560273851578582,0.018019608535755155
7215,1,3,80,5,-3.570688806119187,-0.001200259286786961,0.021854978555904545,-3.5029185056904137,0.001859882774779057,0.02096484000437018
7216,1,3,80,6,-3.4939602750817484,-0.002341090998521405,0.020223784538993,-3.468213520927506,-0.004580649647542952,0.017558058805487314
7217,1,3,80,7,-3.578549323449887,-0.001551704567653047,0.018464096694716544,-3.482692633323974,0.0020481334462476054,0.0170285215074666
7218,1,3,80,8,-3.468482462141581,-0.0048509403032314,0.016389445841033676,-3.4461577568220982,-0.0015402480358772432,0.01675829190737008
7219,1,3,80,9,-3.504275450192348,-0.0046365516686135665,0.019873295761710662,-3.4900090830566612,-0.008950547290847112,0.018350653669230003
7220,1,3,80,10,-3.527937998582788,0.0011123515457669188,0.021068044592981082,-3.4820165646663708,-0.0021514093189078723,0.018257567535926958
7221,1,5,10,1,-3.4354963956380637,0.0008082547683690203,0.0038456554868765667,-3.4261103314890797,0.002479147096030513,0.00314952155341696
7222,1,5,10,2,-3.4497266775724316,0.0012623716114093441,0.0031610421882780904,-3.4257466881179,-0.0029161509297923947,0.002495776708796839
7223,1,5,10,3,-3.446583329306029,0.00036215465750413746,0.00395379752983288,-3.4328636239848835,-0.00011565881836228835,0.003132766874357934
7224,1,5,10,4,-3.467174399890946,-0.00016236064435514634,0.0036506038251544895,-3.4216651855042928,-0.0009931804198705977,0.002400183839018266
7225,1,5,10,5,-3.4406783740019686,-0.003589338785234976,0.003200914141381299,-3.4208392556187954,-0.0018684300178327942,0.0027715492828817986
7226,1,5,10,6,-3.4354893262994626,-0.0006510148069448795,0.003411456542318959,-3.4167013506307895,-0.0005558016095316902,0.002805192674341012
7227,1,5,10,7,-3.4313502043955983,0.00038619539273495977,0.003602067131504651,-3.4214033427686905,0.0010646447465213617,0.0030379811126331055
7228,1,5,10,8,-3.4369080190785777,0.0014446709210312512,0.0036655649184970315,-3.4300314985689218,0.00019508460761295766,0.0029619882828880806
7229,1,5,10,9,-3.4309591885142607,0.0023796272677903203,0.003727550361233588,-3.414735427712537,0.0032504585504801336,0.0030970562624916048
7230,1,5,10,10,-3.4617126681649055,-0.002291787597045743,0.0035276193057966203,-3.415216570406203,-0.00025614621289196714,0.003040901621770625
7231,1,5,80,1,-3.4354826305725514,0.000808536068966493,0.0038528452821148585,-3.4261392747797883,0.002477284439989346,0.0032148909735373963
7232,1,5,80,2,-3.4496677375271694,0.0013066218908808869,0.0031717447956271807,-3.4256113688605456,-0.0028981376318665125,0.0025600110273443374
7233,1,5,80,3,-3.4465894279573592,0.0003599140471178264,0.0039723402959545686,-3.432971972396478,-0.00012351277483676083,0.003216286133888138
7234,1,5,80,4,-3.4672196747670987,-0.00014650048559116963,0.003662958427327592,-3.421720254347281,-0.0009797081717723313,0.002480370327879406
7235,1,5,80,5,-3.440630101499031,-0.003569702268613388,0.0031970855574219984,-3.420862756673873,-0.0018511900714100944,0.0028238811033626243
7236,1,5,80,6,-3.435491349715118,-0.0006436446299962575,0.003449401168832606,-3.4167209401694425,-0.0005448846837694146,0.0029054619873346158
7237,1,5,80,7,-3.431379328874688,0.000378936666191695,0.003618426017198392,-3.421443464262721,0.001048813903801502,0.0031064775687349782
7238,1,5,80,8,-3.436907763673531,0.001447268614645207,0.0036532396644534592,-3.4300293275996134,0.0001801028896680967,0.00300298679479634
7239,1,5,80,9,-3.4310101557142096,0.0023666476109331118,0.00374113267641777,-3.414747780208239,0.0032441137217132116,0.0031707855244139565
7240,1,5,80,10,-3.4622224149991134,-0.002293521579543408,0.0035507335528781117,-3.4153015499800046,-0.0002562850019348184,0.0031254872190282362
7241,1,7,10,1,-3.426044255617481,0.0006646070096169061,0.0010926523853738502,-3.406433502491198,-0.000513443858792099,0.001050738702755166
7242,1,7,10,2,-3.4212694343628365,0.0006058996839264398,0.0010797387541762534,-3.406818972862951,-0.0009722898737580788,0.0010522840275016038
